"","x"
"1",137.087041036894
"2",196.912726802791
"3",257.949381547617
"4",218.770600643509
"5",275.056154167988
"6",217.729983595569
"7",244.121567513247
"8",216.073710062002
"9",210.856425704234
"10",180.346342469863
"11",162.267362512096
"12",289.333781246444
"13",170.249436862534
"14",254.238035121455
"15",186.546971481238
"16",206.639553511534
"17",278.16228516029
"18",219.431433419294
"19",281.034396437932
"20",259.806996425477
"21",186.600241013531
"22",237.411498188435
"23",243.842863578074
"24",261.23460391236
"25",314.325569041805
"26",268.602535449398
"27",236.992979388551
"28",268.277920459377
"29",232.041241166775
"30",200.989769550523
"31",275.52533847038
"32",198.631174833999
"33",256.511444722904
"34",155.025453410041
"35",282.658253708857
"36",325.213306652912
"37",221.971301586863
"38",340.265014785028
"39",125.401744815038
"40",218.769297256793
"41",237.211636918384
"42",214.337630984173
"43",184.679096878708
"44",244.680802923593
"45",240.168078187034
"46",197.349389390441
"47",259.074508671603
"48",238.968203995137
"49",294.789382200103
"50",273.881940884917
"51",196.344673735745
"52",246.110018898646
"53",228.233066761523
"54",318.253299413108
"55",258.193843708625
"56",233.332829294858
"57",253.995512520971
"58",287.145085585397
"59",254.614332380868
"60",253.207693179809
"61",236.217422405221
"62",306.596458204329
"63",299.473906283587
"64",246.552007791257
"65",210.525138440982
"66",164.565669167684
"67",287.583465803861
"68",209.47772843397
"69",180.959428143783
"70",193.715281727283
"71",316.263264251945
"72",247.291440319535
"73",283.607767802783
"74",203.931614158392
"75",316.603242141467
"76",195.550083923136
"77",212.772118634155
"78",248.310915996669
"79",243.14621235151
"80",294.8252166369
"81",274.186898003301
"82",198.366316500999
"83",258.358069443977
"84",336.91213068159
"85",274.197844904519
"86",284.147432775608
"87",206.937430479195
"88",221.314626969897
"89",167.207924268553
"90",136.966384822624
"91",197.77504900948
"92",318.718836943705
"93",264.703516670558
"94",292.835974425584
"95",163.393912560345
"96",241.920419942606
"97",213.030772741199
"98",276.057101601465
"99",264.82905549051
"100",200.853847364754
"101",220.93026134657
"102",327.119362164173
"103",264.727761199045
"104",219.918593741896
"105",179.901607693482
"106",234.469174930286
"107",280.475932663824
"108",257.34897302553
"109",267.60930063336
"110",236.605886273599
"111",298.329537165158
"112",211.414019260318
"113",313.44320280424
"114",236.28630179104
"115",162.640661308443
"116",260.959564042582
"117",278.368310157903
"118",263.957557785297
"119",244.04848224138
"120",262.090354769329
"121",146.238745338361
"122",297.946234301761
"123",281.129168160876
"124",219.780339561478
"125",206.60614374262
"126",223.50182526914
"127",346.893372430859
"128",256.740486354047
"129",264.552765756587
"130",265.457444026126
"131",341.324509305041
"132",206.668029213317
"133",283.500638288971
"134",219.437033175745
"135",346.345630797419
"136",212.438690829266
"137",264.478260979784
"138",269.90615074571
"139",257.029128869499
"140",230.860196943108
"141",339.892916030151
"142",184.77976516888
"143",217.58501265491
"144",206.906696466231
"145",220.240262299876
"146",240.370519353912
"147",185.895577909741
"148",202.782793563136
"149",163.886744313108
"150",271.937064596279
"151",226.214613038861
"152",291.889433538282
"153",228.685521263485
"154",205.2561330117
"155",238.536117054493
"156",289.18012388572
"157",353.752776631931
"158",222.71704724762
"159",246.473236665858
"160",337.154048172513
"161",233.734514241775
"162",252.992237080288
"163",239.48676364876
"164",226.945836009317
"165",252.548180596584
"166",236.167298080228
"167",234.86221144051
"168",152.837343774204
"169",210.623428235342
"170",242.550111046036
"171",233.631359072333
"172",210.207699188785
"173",269.99758043275
"174",248.737427640625
"175",250.25512096971
"176",305.217469811993
"177",235.603049605579
"178",220.533613347583
"179",292.980634828125
"180",260.766066342168
"181",249.454038627851
"182",210.824257907137
"183",255.980306958027
"184",208.715530349214
"185",289.951363421345
"186",207.270903249533
"187",249.885112704212
"188",254.140387012699
"189",262.620173158832
"190",172.324491998243
"191",167.476020896131
"192",331.270730661479
"193",204.472513946241
"194",194.428695483837
"195",249.966292272255
"196",245.652680197728
"197",271.766432489269
"198",171.324575549114
"199",94.8951863928278
"200",285.417202278385
"201",271.400289725327
"202",269.100276149972
"203",213.472158402281
"204",295.120285443087
"205",178.076600766166
"206",286.90414211314
"207",198.540472166679
"208",220.810302143155
"209",312.242678577847
"210",182.850033840264
"211",300.24248380228
"212",187.071224229993
"213",286.533794930053
"214",100.887996467188
"215",344.372619097865
"216",300.821665189157
"217",183.968676441129
"218",212.420597799975
"219",273.89503364744
"220",189.227798061437
"221",265.848016077312
"222",256.239745620226
"223",167.923679098728
"224",237.072467509699
"225",220.521312134049
"226",220.401334605374
"227",206.299315172895
"228",239.51862210928
"229",253.334332079784
"230",204.31333389322
"231",216.044989555978
"232",178.19690972888
"233",215.69124763026
"234",250.378795490935
"235",307.316758397998
"236",304.845981549387
"237",249.41409979304
"238",260.157259826085
"239",338.473771310068
"240",277.217132368202
"241",299.537744873168
"242",251.447432078644
"243",259.130213551056
"244",207.587555010462
"245",139.690863843252
"246",258.839406198663
"247",192.266815071929
"248",201.336882801383
"249",228.185918134974
"250",312.932489231193
"251",261.52456840715
"252",176.443750015678
"253",200.066648451473
"254",346.578657757617
"255",140.128230582678
"256",175.952312732106
"257",267.123817910842
"258",221.104873225237
"259",129.05378411129
"260",223.539321348381
"261",320.908625584748
"262",275.640145219935
"263",173.609758200511
"264",221.552647839839
"265",270.486510164534
"266",281.726575122617
"267",334.837175887734
"268",184.412973829808
"269",176.332408912634
"270",184.672473094189
"271",175.50175859874
"272",177.23554629396
"273",373.064070735588
"274",295.002886852511
"275",179.092422106202
"276",263.158992002317
"277",229.82804405211
"278",295.573099301783
"279",225.303412139223
"280",346.854432013499
"281",255.620944496445
"282",294.847577676492
"283",255.296950205756
"284",270.118045133837
"285",180.814306785752
"286",194.16351167685
"287",175.998916908261
"288",147.022895342047
"289",317.845281905567
"290",245.925927576076
"291",372.251690714249
"292",200.842967082661
"293",278.775482761889
"294",223.508049291809
"295",247.0938793493
"296",205.211627156599
"297",207.305356983969
"298",325.57603995882
"299",335.544551802415
"300",231.323457008198
"301",204.847115494762
"302",207.397351567709
"303",305.641474625524
"304",317.915899726187
"305",270.902992153275
"306",73.0257297777496
"307",274.413979294775
"308",259.213690701603
"309",214.960397979548
"310",267.707551232268
"311",180.137490024853
"312",231.27357394232
"313",208.399686859778
"314",310.45215315318
"315",230.27313588836
"316",303.48940233715
"317",271.794188308082
"318",244.549876092344
"319",273.787435419143
"320",221.935859586599
"321",234.58258077122
"322",286.863916377315
"323",200.23980812449
"324",281.756050495435
"325",288.364261298139
"326",281.063291727918
"327",257.293175630418
"328",234.065099551805
"329",189.058696126406
"330",241.782397141037
"331",207.063110873135
"332",226.895671423813
"333",112.700021516678
"334",272.111994367634
"335",225.683015437636
"336",276.875803916307
"337",122.308198274338
"338",264.344248073647
"339",303.996525916004
"340",242.041327460611
"341",219.641377350072
"342",193.081339451764
"343",298.74556232471
"344",305.869141782122
"345",165.421302785144
"346",267.265144083244
"347",299.321937752645
"348",106.012001480568
"349",311.977116668167
"350",229.093023143885
"351",272.340942151069
"352",256.829753173405
"353",247.879438398435
"354",237.312701125124
"355",302.781983152525
"356",358.760680889169
"357",263.136656499153
"358",232.118138703947
"359",262.037154142794
"360",182.488191799501
"361",301.078199461001
"362",251.753431262344
"363",288.940003579273
"364",217.196503968032
"365",276.175537180281
"366",403.161499933392
"367",256.672900550887
"368",208.279105826228
"369",226.271707002767
"370",278.138546975942
"371",245.367078611378
"372",281.904988673313
"373",268.93694697699
"374",213.316806022033
"375",273.620554402821
"376",288.896542362049
"377",279.862192948129
"378",260.120974072473
"379",273.342821150466
"380",285.164919934603
"381",297.654281467872
"382",257.19487190079
"383",343.352866264925
"384",229.183618578659
"385",172.042375429995
"386",206.51234983015
"387",254.013575842745
"388",231.156665083194
"389",296.927041040547
"390",332.942974769388
"391",316.320714898968
"392",264.030080303224
"393",306.876565249458
"394",272.186941048031
"395",167.80144141676
"396",251.068806947077
"397",288.450380861199
"398",265.376057360128
"399",162.36841040112
"400",189.745530425118
"401",295.204882912599
"402",299.85761563455
"403",271.065229864188
"404",275.080816452455
"405",139.061349838807
"406",276.205312022559
"407",242.469680442204
"408",211.600986224353
"409",249.331824453237
"410",231.784984470281
"411",209.561232631552
"412",160.084987507896
"413",307.310442708456
"414",205.255078420148
"415",226.276555883318
"416",218.698128460376
"417",241.064019983788
"418",276.959160140831
"419",241.599244615951
